param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
425,2,0.1642074976456099,0.9246494643536243,0.7610981398906431,5,0.8020477815699659,0.8076795762992387,0.8002726653033402,0.8046666666666666,0.7933716604666892,0.8016076700611802,0.0048173290417060114,527,0.817600538448595,0.8177987527389179,0.8165470662726889,0.8131147540983606,0.818335018537243,0.8166792260191611,0.001874392264419447,541,1.4247041702270509,0.03712343408674466,0.03683671951293945,0.008521281186361787,"{'n_estimators': 425, 'max_depth': 2, 'learning_rate': np.float64(0.1642074976456099), 'subsample': np.float64(0.9246494643536243), 'colsample_bytree': np.float64(0.7610981398906431), 'min_child_weight': 5}"
315,6,0.09148202493973988,0.7698281182242285,0.7380819985464547,3,0.8102288021534321,0.8089887640449438,0.8058088483620398,0.8065268065268065,0.8041652670473631,0.8071436976269171,0.0021888611620207573,349,0.8940435755115567,0.8956212234086582,0.8961017509084902,0.895042281545349,0.8964202850513755,0.8954458232850859,0.0008413948821488993,364,1.9313264846801759,0.023975080571224244,0.060910511016845706,0.009126573280411616,"{'n_estimators': 315, 'max_depth': 6, 'learning_rate': np.float64(0.09148202493973988), 'subsample': np.float64(0.7698281182242285), 'colsample_bytree': np.float64(0.7380819985464547), 'min_child_weight': 3}"
589,6,0.16137052139275213,0.8458862581292529,0.7558964064835286,7,0.8025140588819054,0.8010471204188482,0.8018494055482166,0.8026229508196722,0.802244965335094,0.8020557002007471,0.0005705221987725589,524,0.96136927137487,0.964576352321685,0.9624480664749121,0.9652478877729954,0.9638669538167025,0.963501706352233,0.001413849719591053,32,2.825677490234375,0.10395876478599791,0.09912624359130859,0.013188032828294356,"{'n_estimators': 589, 'max_depth': 6, 'learning_rate': np.float64(0.16137052139275213), 'subsample': np.float64(0.8458862581292529), 'colsample_bytree': np.float64(0.7558964064835286), 'min_child_weight': 7}"
605,6,0.04524540213685324,0.7275530891482114,0.7725093522909275,9,0.805677593781683,0.8083416087388282,0.8036498817167962,0.8090335436731982,0.7982544478012756,0.8049914151423563,0.003878656525278788,472,0.8687895965321774,0.8696087428047051,0.8700075043775536,0.8689113543320244,0.8686076582964879,0.8691849712685897,0.0005330329648509496,448,2.993951940536499,0.08408831940686577,0.11290826797485351,0.0048194914438188415,"{'n_estimators': 605, 'max_depth': 6, 'learning_rate': np.float64(0.04524540213685324), 'subsample': np.float64(0.7275530891482114), 'colsample_bytree': np.float64(0.7725093522909275), 'min_child_weight': 9}"
580,6,0.17791375052326433,0.8291201878520102,0.9944671747359404,6,0.8007954922108055,0.8029908972691807,0.7981530343007915,0.7985728186831009,0.8036951501154734,0.8008414785158704,0.0022423250009813082,532,0.977105284005387,0.9810186649794369,0.9782109183107519,0.9805502846299811,0.980218388985599,0.979420708182231,0.0015026965224526987,8,2.8996174335479736,0.04336767208488567,0.08546395301818847,0.008590370503554896,"{'n_estimators': 580, 'max_depth': 6, 'learning_rate': np.float64(0.17791375052326433), 'subsample': np.float64(0.8291201878520102), 'colsample_bytree': np.float64(0.9944671747359404), 'min_child_weight': 6}"
417,5,0.047825496997269436,0.7147893522243444,0.8467357408850122,1,0.8005445881552076,0.8054539408047888,0.8076138681169273,0.8104312938816449,0.7974211062097047,0.8042929594336548,0.004718646331200034,499,0.8512389752204956,0.8541368571669051,0.8547683008730692,0.8523461764458994,0.8531244736398854,0.853122956669251,0.0012560197199109524,498,1.8726862907409667,0.08225501322339726,0.06329092979431153,0.011498755921568717,"{'n_estimators': 417, 'max_depth': 5, 'learning_rate': np.float64(0.047825496997269436), 'subsample': np.float64(0.7147893522243444), 'colsample_bytree': np.float64(0.8467357408850122), 'min_child_weight': 1}"
540,2,0.16402008010669075,0.794741852724803,0.9184357827325575,6,0.8022980736735383,0.8075772681954138,0.7983679020741244,0.8085676037483266,0.7900235928547354,0.8013668881092277,0.006766838221127664,529,0.8208490962589323,0.8259770889487871,0.8231835363292734,0.8205387205387206,0.8233809924306139,0.8227858869012655,0.0019746878649520676,535,1.7593932628631592,0.06262627474610485,0.04545493125915527,0.013645252457200382,"{'n_estimators': 540, 'max_depth': 2, 'learning_rate': np.float64(0.16402008010669075), 'subsample': np.float64(0.794741852724803), 'colsample_bytree': np.float64(0.9184357827325575), 'min_child_weight': 6}"
575,3,0.06995622327898601,0.9186591208577617,0.9323778506704612,9,0.8002717391304348,0.8059900166389351,0.7995916978564137,0.8060504201680673,0.7912162162162162,0.8006240180020134,0.005439417276996142,535,0.8255225893459204,0.8280749114223047,0.8249178116833853,0.8256803437526329,0.8275398824517213,0.8263471077311928,0.0012308784742603304,532,2.0120243072509765,0.08051934606773693,0.04623513221740723,0.0037183178704852313,"{'n_estimators': 575, 'max_depth': 3, 'learning_rate': np.float64(0.06995622327898601), 'subsample': np.float64(0.9186591208577617), 'colsample_bytree': np.float64(0.9323778506704612), 'min_child_weight': 9}"
227,4,0.06882850390940987,0.9598418343333062,0.8288445403403935,2,0.7895095367847411,0.8022826451829473,0.797945205479452,0.7994616419919246,0.7944179714091218,0.7967234001696373,0.004410233742471818,544,0.8166342000508173,0.8176121930567316,0.8138667570774708,0.8150597812261511,0.8173883569189052,0.8161122576660151,0.0014353145217843536,543,0.8100866317749024,0.00778936309673075,0.025728368759155275,0.0031700470980831137,"{'n_estimators': 227, 'max_depth': 4, 'learning_rate': np.float64(0.06882850390940987), 'subsample': np.float64(0.9598418343333062), 'colsample_bytree': np.float64(0.8288445403403935), 'min_child_weight': 2}"
227,4,0.06882850390940987,0.7698281182242285,0.7380819985464547,3,0.7908563630160355,0.806,0.7968428277282087,0.8034934497816594,0.7929275756545393,0.7980240432360886,0.0058698413246577145,541,0.8162954179723892,0.8173117642076734,0.8171113934773401,0.8140047473719905,0.8167848699763594,0.8163016386011506,0.0011987758153438623,542,0.8670104503631592,0.009525287455201082,0.028342294692993163,0.0023980572926632165,"{'n_estimators': 227, 'max_depth': 4, 'learning_rate': np.float64(0.06882850390940987), 'subsample': np.float64(0.7698281182242285), 'colsample_bytree': np.float64(0.7380819985464547), 'min_child_weight': 3}"
